truck_id,route_id,departure_date,estimated_arrival,delay
30312694,R-b236e347,2019-01-01 07:00:00,2019-01-01 13:13:12.000000000,0
59856374,R-29ea762e,2019-01-01 07:00:00,2019-01-02 04:01:12.000000000,0
12602955,R-a3d67783,2019-01-01 07:00:00,2019-01-01 07:45:36.000000000,0
46619422,R-31ec9310,2019-01-01 07:00:00,2019-01-01 20:46:48.000000000,0
10140178,R-a07c5dbd,2019-01-01 07:00:00,2019-01-01 21:34:11.999999999,0
22653688,R-af4b19be,2019-01-01 07:00:00,2019-01-01 15:39:36.000000000,0
45849400,R-f3910966,2019-01-01 07:00:00,2019-01-01 16:02:24.000000000,0
21048046,R-0f705429,2019-01-01 07:00:00,2019-01-02 01:41:24.000000000,0
31825609,R-20b28ed0,2019-01-01 07:00:00,2019-01-01 11:48:00.000000000,1
27585963,R-c6f387a2,2019-01-01 07:00:00,2019-01-01 11:08:24.000000000,0
48116553,R-4e761548,2019-01-01 07:00:00,2019-01-01 10:21:36.000000000,1
29077811,R-ceca955c,2019-01-01 07:00:00,2019-01-01 11:13:48.000000000,0
10248113,R-42089501,2019-01-01 07:00:00,2019-01-02 01:17:23.999999999,0
12492275,R-199b44b9,2019-01-01 07:00:00,2019-01-01 15:48:36.000000000,0
26923239,R-a440d67c,2019-01-01 07:00:00,2019-01-01 08:52:12.000000000,0
24350497,R-813014f3,2019-01-01 07:00:00,2019-01-02 01:12:36.000000000,0
29121693,R-2eb4a1eb,2019-01-01 07:00:00,2019-01-01 20:27:00.000000000,1
81965280,R-34225f1e,2019-01-01 07:00:00,2019-01-02 00:12:00.000000000,1
30147233,R-4517898c,2019-01-01 07:00:00,2019-01-01 22:06:36.000000000,0
29433242,R-78400ecc,2019-01-01 07:00:00,2019-01-02 03:58:12.000000000,0
21260443,R-0a155e4b,2019-01-01 07:00:00,2019-01-01 17:43:12.000000000,0
60567423,R-796c9a8b,2019-01-01 07:00:00,2019-01-01 14:20:24.000000000,0
51580610,R-f5b60fcb,2019-01-01 07:00:00,2019-01-01 10:06:00.000000000,0
16991743,R-636eb206,2019-01-01 07:00:00,2019-01-01 09:09:00.000000000,0
28674842,R-d1612204,2019-01-01 07:00:00,2019-01-02 03:18:00.000000000,0
75500652,R-71152224,2019-01-01 07:00:00,2019-01-01 22:45:36.000000000,0
21071765,R-96fa17e6,2019-01-01 07:00:00,2019-01-01 21:12:36.000000000,0
13680498,R-16be3bb7,2019-01-01 07:00:00,2019-01-02 00:55:12.000000000,0
29965111,R-9ec2159c,2019-01-01 07:00:00,2019-01-01 13:12:36.000000000,0
23639934,R-647d7ccc,2019-01-01 07:00:00,2019-01-01 09:12:36.000000000,0
24774056,R-71af6d34,2019-01-01 07:00:00,2019-01-01 18:42:36.000000000,0
28411080,R-77ae4ceb,2019-01-01 07:00:00,2019-01-01 10:06:36.000000000,0
21265684,R-f97aec0d,2019-01-01 07:00:00,2019-01-01 15:03:00.000000000,0
33571967,R-be1f5c9c,2019-01-01 07:00:00,2019-01-02 00:21:00.000000000,0
21539605,R-6b21c069,2019-01-01 07:00:00,2019-01-01 11:43:12.000000000,0
13131138,R-56cddd65,2019-01-01 07:00:00,2019-01-01 11:48:00.000000000,1
22695998,R-d036f06f,2019-01-01 07:00:00,2019-01-01 15:56:24.000000000,0
29303248,R-b64f0229,2019-01-01 07:00:00,2019-01-02 01:04:48.000000000,1
18611501,R-a7dd3306,2019-01-01 07:00:00,2019-01-02 00:41:24.000000000,0
31923822,R-c93867d5,2019-01-01 07:00:00,2019-01-01 08:47:24.000000000,0
29299682,R-e7154f58,2019-01-01 07:00:00,2019-01-01 20:09:00.000000000,0
19350992,R-20376100,2019-01-01 07:00:00,2019-01-01 22:25:12.000000000,0
25300316,R-e7080ced,2019-01-01 07:00:00,2019-01-02 06:33:00.000000000,0
74054998,R-1a59c21e,2019-01-01 07:00:00,2019-01-01 21:55:48.000000000,0
30977437,R-5d990166,2019-01-01 07:00:00,2019-01-02 06:06:00.000000000,0
30794834,R-5b775913,2019-01-01 07:00:00,2019-01-02 05:04:12.000000000,0
62119001,R-9c024081,2019-01-01 07:00:00,2019-01-01 08:47:24.000000000,0
25366317,R-6cf6fe85,2019-01-01 07:00:00,2019-01-01 21:48:00.000000000,0
61984883,R-faf1cee4,2019-01-01 07:00:00,2019-01-01 23:17:23.999999999,0
32501985,R-513fb13a,2019-01-01 07:00:00,2019-01-01 23:37:12.000000000,0
12298240,R-1739a9e4,2019-01-01 07:00:00,2019-01-02 06:29:24.000000000,0
74499001,R-f4215aad,2019-01-01 07:00:00,2019-01-01 13:13:12.000000000,1
28389523,R-d1077545,2019-01-01 07:00:00,2019-01-01 12:27:36.000000000,0
