city_id,date,hour,temp,wind_speed,description,precip,humidity,visibility,pressure,chanceofrain,chanceoffog,chanceofsnow,chanceofthunder
C-927ceb5e,2019-01-01,0,30,11,Light snow,0.0,86,6,1019,0,0,0,0
C-927ceb5e,2019-01-01,100,28,12,Light snow,0.0,86,5,1021,0,0,0,0
C-927ceb5e,2019-01-01,200,28,13,Moderate snow,0.0,85,4,1022,0,0,0,0
C-927ceb5e,2019-01-01,300,28,14,Moderate snow,0.0,84,3,1024,0,0,0,0
C-927ceb5e,2019-01-01,400,28,13,Moderate snow,0.0,84,3,1025,0,0,0,0
C-927ceb5e,2019-01-01,500,27,12,Moderate snow,0.0,84,3,1026,0,0,0,0
C-927ceb5e,2019-01-01,600,27,12,Moderate snow,0.0,84,3,1027,0,0,0,0
C-927ceb5e,2019-01-01,700,27,12,Moderate snow,0.0,83,4,1027,0,0,0,0
C-927ceb5e,2019-01-01,800,27,12,Light snow,0.0,83,5,1028,0,0,0,0
C-927ceb5e,2019-01-01,900,25,13,Light snow,0.0,83,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,1000,27,13,Light snow,0.0,82,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,1100,27,13,Light snow,0.0,81,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,1200,27,14,Light snow,0.0,80,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,1300,27,13,Light snow,0.0,79,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,1400,27,12,Light snow,0.0,79,6,1030,0,0,0,0
C-927ceb5e,2019-01-01,1500,25,12,Light snow,0.0,78,6,1030,0,0,0,0
C-927ceb5e,2019-01-01,1600,25,11,Light snow,0.0,79,6,1030,0,0,0,0
C-927ceb5e,2019-01-01,1700,25,9,Overcast,0.0,80,6,1030,0,0,0,0
C-927ceb5e,2019-01-01,1800,25,7,Overcast,0.0,81,6,1030,0,0,0,0
C-927ceb5e,2019-01-01,1900,23,6,Overcast,0.0,79,6,1030,0,0,0,0
C-927ceb5e,2019-01-01,2000,23,6,Cloudy,0.0,76,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,2100,23,4,Cloudy,0.0,73,6,1029,0,0,0,0
C-927ceb5e,2019-01-01,2200,23,4,Cloudy,0.0,73,6,1028,0,0,0,0
C-927ceb5e,2019-01-01,2300,23,4,Overcast,0.0,73,6,1028,0,0,0,0
C-927ceb5e,2019-01-02,0,23,4,Overcast,0.0,72,6,1027,0,0,0,0
C-927ceb5e,2019-01-02,100,21,4,Overcast,0.0,74,6,1028,0,0,0,0
C-927ceb5e,2019-01-02,200,19,3,Overcast,0.0,75,6,1028,0,0,0,0
C-927ceb5e,2019-01-02,300,16,2,Overcast,0.0,77,6,1028,0,0,0,0
C-927ceb5e,2019-01-02,400,16,3,Overcast,0.0,76,6,1028,0,0,0,0
C-927ceb5e,2019-01-02,500,16,3,Overcast,0.0,76,6,1027,0,0,0,0
C-927ceb5e,2019-01-02,600,16,3,Overcast,0.0,75,6,1027,0,0,0,0
C-927ceb5e,2019-01-02,700,19,3,Overcast,0.0,70,6,1026,0,0,0,0
